provinceName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,submission_date
LN,125,0,110,1,2020/3/10
LN,125,0,112,1,2020/3/12
LN,125,0,113,1,2020/3/14
LN,125,0,114,1,2020/3/15
LN,125,0,115,1,2020/3/16
LN,125,0,120,1,2020/3/17
LN,125,0,119,1,2020/3/17
LN,125,0,122,1,2020/3/18
LN,126,0,122,2,2020/3/20
LN,126,0,124,2,2020/3/22
LN,127,0,124,2,2020/3/23
LN,128,3,124,2,2020/3/26
LN,128,0,124,2,2020/3/27
LN,129,3,124,2,2020/3/27
LN,132,0,124,2,2020/3/28
LN,131,0,124,2,2020/3/28
LN,134,0,124,2,2020/3/29
LN,136,0,124,2,2020/3/30
LN,139,0,124,2,2020/3/31
LN,140,0,124,2,2020/4/1
LN,141,0,124,2,2020/4/2
LN,141,0,125,2,2020/4/4
LN,142,0,126,2,2020/4/5
LN,142,0,128,2,2020/4/6
LN,144,0,130,2,2020/4/7
LN,144,0,131,2,2020/4/8
LN,144,0,132,2,2020/4/9
LN,145,0,133,2,2020/4/11
LN,145,0,136,2,2020/4/12
LN,145,0,138,2,2020/4/14
LN,145,0,140,2,2020/4/16
LN,146,0,140,2,2020/4/17
LN,146,0,142,2,2020/4/18
LN,146,0,143,2,2020/4/20
LN,146,0,144,2,2020/5/2
LN,147,0,144,2,2020/5/10
LN,149,0,144,2,2020/5/14
LN,149,0,145,2,2020/5/24
LN,149,0,147,2,2020/5/26
LN,151,0,147,2,2020/6/14
LN,152,0,147,2,2020/6/16
LN,153,0,147,2,2020/6/19
LN,153,0,147,2,2020/6/20
LN,154,0,147,2,2020/6/22
LN,155,0,147,2,2020/6/29
LN,155,0,148,2,2020/7/1
LN,156,0,148,2,2020/7/3
LN,156,0,149,2,2020/7/4
LN,156,0,150,2,2020/7/5
LN,157,0,150,2,2020/7/6
LN,159,0,150,2,2020/7/7
LN,162,0,150,2,2020/7/9
LN,164,0,150,2,2020/7/11
LN,164,0,153,2,2020/7/19
LN,164,0,154,2,2020/7/20
LN,164,0,156,2,2020/7/21
LN,165,0,157,2,2020/7/22
LN,164,0,157,2,2020/7/22
LN,165,0,158,2,2020/7/23
LN,189,0,159,2,2020/7/26
LN,203,0,160,2,2020/7/27
LN,217,0,160,2,2020/7/29
LN,209,0,160,2,2020/7/29
LN,222,0,160,2,2020/7/30
LN,233,0,160,2,2020/7/31
LN,241,0,160,2,2020/8/1
LN,244,0,160,2,2020/8/2
LN,253,0,160,2,2020/8/3
LN,255,0,160,2,2020/8/4
LN,258,0,161,2,2020/8/6
LN,259,0,165,2,2020/8/7
LN,258,0,165,2,2020/8/7
LN,259,0,168,2,2020/8/8
LN,259,0,174,2,2020/8/9
LN,261,0,181,2,2020/8/10
LN,261,0,186,2,2020/8/11
LN,261,0,191,2,2020/8/12
LN,261,0,202,2,2020/8/13
LN,261,0,207,2,2020/8/14
LN,261,0,220,2,2020/8/15
LN,261,0,226,2,2020/8/16
LN,261,0,227,2,2020/8/17
LN,261,0,230,2,2020/8/18
LN,261,0,232,2,2020/8/19
LN,261,0,242,2,2020/8/20
LN,261,0,245,2,2020/8/21
LN,261,0,248,2,2020/8/23
LN,261,0,250,2,2020/8/24
LN,263,0,250,2,2020/8/24
LN,263,0,248,2,2020/8/24
LN,262,0,253,2,2020/8/25
LN,261,0,253,2,2020/8/25
LN,262,0,254,2,2020/8/26
LN,262,0,256,2,2020/8/28
LN,262,0,258,2,2020/8/29
LN,262,0,259,2,2020/8/30
LN,263,0,259,2,2020/9/2
LN,263,0,260,2,2020/9/8
LN,264,0,260,2,2020/9/11
LN,264,0,261,2,2020/9/13
LN,264,0,262,2,2020/9/16
LN,265,0,262,2,2020/9/19
LN,267,0,262,2,2020/9/24
LN,267,0,263,2,2020/9/25
LN,271,0,263,2,2020/9/27
LN,271,0,264,2,2020/10/3
LN,271,0,266,2,2020/10/4
LN,271,0,268,2,2020/10/8
LN,273,0,268,2,2020/10/9
LN,275,0,269,2,2020/10/10
LN,276,0,269,2,2020/10/11
LN,280,0,269,2,2020/10/12
LN,280,0,270,2,2020/10/16
LN,280,0,271,2,2020/10/21
LN,283,0,272,2,2020/10/25
LN,283,0,273,2,2020/10/27
LN,283,0,276,2,2020/10/29
LN,283,0,278,2,2020/11/1
LN,284,0,279,2,2020/11/6
LN,285,0,279,2,2020/11/9
LN,285,0,280,2,2020/11/10
LN,286,0,280,2,2020/11/11
LN,288,0,280,2,2020/11/14
LN,289,0,280,2,2020/11/18
LN,289,0,281,2,2020/11/19
LN,289,0,283,2,2020/11/23
LN,289,0,285,2,2020/11/25
LN,289,0,286,2,2020/11/27
LN,289,0,287,2,2020/12/4
LN,290,0,287,2,2020/12/19
LN,291,0,287,2,2020/12/20
LN,292,0,287,2,2020/12/21
LN,294,0,287,2,2020/12/22
LN,295,0,287,2,2020/12/23
LN,302,0,287,2,2020/12/24
LN,310,0,287,2,2020/12/25
LN,316,0,287,2,2020/12/26
LN,323,0,287,2,2020/12/27
LN,329,0,287,2,2020/12/28
LN,337,0,287,2,2020/12/29
LN,342,0,287,2,2020/12/30
LN,347,0,287,2,2020/12/31
SX,1,0,0,0,2020/1/22
SX,0,1,0,0,2020/1/22
SX,1,0,0,0,2020/1/24
SX,6,0,0,0,2020/1/25
SX,9,0,0,0,2020/1/26
SX,13,0,0,0,2020/1/27
SX,20,0,0,0,2020/1/28
SX,27,0,1,0,2020/1/29
SX,27,0,0,0,2020/1/29
SX,35,0,1,0,2020/1/30
SX,39,0,1,0,2020/1/31
SX,47,0,1,0,2020/2/1
SX,56,0,2,0,2020/2/2
SX,56,0,1,0,2020/2/2
SX,66,0,2,0,2020/2/3
SX,66,0,3,0,2020/2/3
SX,74,0,4,0,2020/2/4
SX,74,0,2,0,2020/2/4
SX,81,0,5,0,2020/2/5
SX,81,0,4,0,2020/2/5
SX,90,0,12,0,2020/2/6
SX,90,0,8,0,2020/2/6
SX,90,0,6,0,2020/2/6
SX,96,0,15,0,2020/2/7
SX,96,0,12,0,2020/2/7
SX,104,0,20,0,2020/2/8
SX,104,0,15,0,2020/2/8
SX,115,0,22,0,2020/2/9
SX,115,0,21,0,2020/2/9
SX,115,71,21,0,2020/2/9
SX,119,0,25,0,2020/2/10
SX,122,0,30,0,2020/2/11
SX,122,0,28,0,2020/2/11
SX,122,0,26,0,2020/2/11
SX,124,0,33,0,2020/2/12
SX,124,0,32,0,2020/2/12
SX,124,0,30,0,2020/2/12
SX,126,0,33,0,2020/2/13
SX,124,0,33,0,2020/2/13
SX,126,0,38,0,2020/2/14
SX,126,0,36,0,2020/2/14
SX,127,0,42,0,2020/2/15
SX,127,0,38,0,2020/2/15
SX,128,0,49,0,2020/2/16
SX,128,0,48,0,2020/2/16
SX,128,0,46,0,2020/2/16
SX,129,0,51,0,2020/2/17
SX,129,0,50,0,2020/2/17
SX,130,0,60,0,2020/2/18
SX,130,0,57,0,2020/2/18
SX,130,0,54,0,2020/2/18
SX,130,0,53,0,2020/2/18
SX,131,0,63,0,2020/2/19
SX,131,0,62,0,2020/2/19
SX,131,0,61,0,2020/2/19
SX,131,0,73,0,2020/2/20
SX,131,0,70,0,2020/2/20
SX,131,0,68,0,2020/2/20
SX,132,0,76,0,2020/2/21
SX,132,0,79,0,2020/2/22
SX,132,0,78,0,2020/2/22
SX,132,0,89,0,2020/2/23
SX,132,0,87,0,2020/2/23
SX,132,0,85,0,2020/2/23
SX,132,0,82,0,2020/2/23
SX,132,0,81,0,2020/2/23
SX,132,0,91,0,2020/2/24
SX,132,0,88,0,2020/2/24
SX,133,0,96,0,2020/2/25
SX,133,0,94,0,2020/2/25
SX,133,0,104,0,2020/2/26
SX,133,0,102,0,2020/2/26
SX,133,0,98,0,2020/2/26
SX,133,0,106,0,2020/2/27
SX,133,0,109,0,2020/2/28
SX,133,0,107,0,2020/2/28
SX,133,0,113,0,2020/2/29
SX,133,0,115,0,2020/3/1
SX,133,0,114,0,2020/3/1
SX,133,0,117,0,2020/3/2
SX,133,0,116,0,2020/3/2
SX,133,0,120,0,2020/3/3
SX,133,0,119,0,2020/3/3
SX,133,0,124,0,2020/3/4
SX,133,0,126,0,2020/3/5
SX,133,0,127,0,2020/3/9
SX,133,0,128,0,2020/3/10
SX,133,0,131,0,2020/3/11
SX,133,0,132,0,2020/3/12
SX,133,0,133,0,2020/3/13
SX,134,0,133,0,2020/3/24
SX,135,0,133,0,2020/3/26
SX,136,1,133,0,2020/3/29
SX,137,4,133,0,2020/4/1
SX,138,5,133,0,2020/4/5
SX,163,5,134,0,2020/4/8
SX,166,5,134,0,2020/4/9
SX,168,5,134,0,2020/4/10
SX,172,5,135,0,2020/4/11
SX,173,5,135,0,2020/4/13
SX,186,18,135,0,2020/4/15
SX,194,18,135,0,2020/4/16
SX,197,18,135,0,2020/4/17
SX,197,18,140,0,2020/4/21
SX,197,18,142,0,2020/4/23
SX,197,18,149,0,2020/4/25
SX,197,18,154,0,2020/4/26
SX,197,18,157,0,2020/4/27
SX,197,18,160,0,2020/4/28
SX,197,18,164,0,2020/4/30
SX,197,18,172,0,2020/5/1
SX,197,18,176,0,2020/5/2
SX,198,18,176,0,2020/5/3
SX,198,64,180,0,2020/5/4
SX,198,64,190,0,2020/5/5
SX,198,64,193,0,2020/5/6
SX,198,64,194,0,2020/5/7
SX,198,64,195,0,2020/5/8
SX,198,64,196,0,2020/5/9
SX,198,64,197,0,2020/5/10
SX,198,64,198,0,2020/5/13
SX,199,64,198,0,2020/7/8
SX,200,64,198,0,2020/7/11
SX,201,64,198,0,2020/7/15
SX,201,64,200,0,2020/7/19
SX,201,64,201,0,2020/7/26
SX,202,64,201,0,2020/8/24
SX,203,64,201,0,2020/8/31
SX,203,64,202,0,2020/9/12
SX,203,64,203,0,2020/9/20
SX,204,64,203,0,2020/9/28
SX,205,64,203,0,2020/10/5
SX,206,64,203,0,2020/10/7
SX,208,64,203,0,2020/10/12
SX,208,64,204,0,2020/10/15
SX,209,64,204,0,2020/10/19
SX,209,64,205,0,2020/10/24
SX,211,64,205,0,2020/10/25
SX,212,64,205,0,2020/10/26
SX,212,64,206,0,2020/10/29
SX,212,64,207,0,2020/10/31
SX,212,64,208,0,2020/11/1
SX,215,64,208,0,2020/11/2
SX,215,64,210,0,2020/11/4
SX,215,64,211,0,2020/11/5
SX,216,64,211,0,2020/11/6
SX,216,64,213,0,2020/11/7
SX,217,64,213,0,2020/11/8
SX,218,64,213,0,2020/11/9
SX,219,64,213,0,2020/11/16
SX,220,64,213,0,2020/11/18
SX,220,64,214,0,2020/11/22
SX,220,64,215,0,2020/11/23
SX,220,64,216,0,2020/11/26
SX,220,64,217,0,2020/11/27
SX,221,64,217,0,2020/11/30
SX,221,64,218,0,2020/12/2
SX,222,64,218,0,2020/12/5
SX,222,64,220,0,2020/12/15
SX,223,64,220,0,2020/12/18
SX,224,64,220,0,2020/12/21
SX,224,64,221,0,2020/12/23
LN,351,0,287,2,2021/1/1
LN,359,0,287,2,2021/1/2
LN,362,0,287,2,2021/1/3
HB,374,0,367,6,2021/1/3
HB,378,0,367,6,2021/1/4
LN,369,0,290,2,2021/1/4
LN,366,0,287,2,2021/1/4
SX,225,64,221,0,2021/1/4
LN,372,0,292,2,2021/1/5
HB,392,0,367,6,2021/1/5
SX,225,64,222,0,2021/1/5
HB,412,0,367,6,2021/1/6
LN,373,0,294,2,2021/1/6
LN,374,0,304,2,2021/1/7
HB,465,0,367,6,2021/1/7
LN,374,0,300,2,2021/1/7
HB,502,0,367,6,2021/1/8
LN,378,0,306,2,2021/1/8
HB,498,0,367,6,2021/1/8
LN,377,0,304,2,2021/1/8
LN,386,0,312,2,2021/1/9
SX,225,64,223,0,2021/1/9
LN,384,0,306,2,2021/1/9
HB,512,0,367,6,2021/1/9
LN,387,0,314,2,2021/1/10
HB,598,0,367,6,2021/1/10
HB,558,0,367,6,2021/1/10
SX,226,64,223,0,2021/1/10
LN,387,0,312,2,2021/1/10
HB,656,0,367,6,2021/1/11
LN,393,0,322,2,2021/1/11
HB,640,0,367,6,2021/1/11
LN,393,0,314,2,2021/1/11
SX,226,64,224,0,2021/1/11
LN,396,0,335,2,2021/1/12
HB,701,0,367,6,2021/1/12
LN,396,0,329,2,2021/1/12
LN,396,0,322,2,2021/1/12
HB,680,0,367,6,2021/1/12
HB,796,0,367,6,2021/1/13
LN,396,0,343,2,2021/1/13
SX,227,64,224,0,2021/1/13
HB,770,0,367,6,2021/1/13
LN,396,0,336,2,2021/1/13
HB,901,0,391,7,2021/1/14
HB,899,0,391,7,2021/1/14
LN,396,0,349,2,2021/1/14
HB,898,0,379,7,2021/1/14
HB,851,0,379,7,2021/1/14
HB,941,0,379,7,2021/1/15
LN,396,0,358,2,2021/1/15
LN,396,0,349,2,2021/1/15
SX,227,64,224,0,2021/1/15
HB,941,0,391,7,2021/1/15
HB,1063,0,379,7,2021/1/16
LN,396,0,359,2,2021/1/16
HB,1031,0,379,7,2021/1/16
HB,1001,0,379,7,2021/1/16
HB,1132,0,379,7,2021/1/17
LN,396,0,360,2,2021/1/17
LN,396,0,359,2,2021/1/17
HB,1103,0,379,7,2021/1/17
HB,1171,0,379,7,2021/1/18
LN,396,0,365,2,2021/1/18
LN,396,0,360,2,2021/1/18
HB,1157,0,379,7,2021/1/18
HB,1198,0,383,7,2021/1/19
LN,396,0,366,2,2021/1/19
HB,1192,0,383,7,2021/1/19
LN,396,0,365,2,2021/1/19
HB,1192,0,379,7,2021/1/19
SX,228,64,224,0,2021/1/19
HB,1222,0,384,7,2021/1/20
LN,396,0,368,2,2021/1/20
LN,396,0,366,2,2021/1/20
HB,1211,0,384,7,2021/1/20
HB,1198,0,383,7,2021/1/20
HB,1245,0,395,7,2021/1/21
LN,396,0,371,2,2021/1/21
SX,230,64,224,0,2021/1/21
HB,1231,0,395,7,2021/1/21
LN,396,0,369,2,2021/1/21
HB,1231,0,392,7,2021/1/21
HB,1231,0,384,7,2021/1/21
